structure_id,caps,anchor,track_prep,data_node,anchor_emit,split_source,isolate_drain,control_groups,transistors,kappa,vth_residual,source_sensitivity,decision
S3-67978dfa08,G-S,G,True,G,False,True,False,6,7,,,,control_groups_gt_5
S3-f2d4a715e4,G-S,G,True,G,False,True,True,7,8,,,,control_groups_gt_5
S3-fa3c19c797,G-S,G,True,G,True,False,False,5,6,0.9999999999999997,-0.9999999999999998,-4.440892098500626e-16,no_intrinsic_DATA_compression
S3-b50dcde412,G-S,G,True,G,True,False,True,5,7,0.9999999999999997,-0.9999999999999998,-4.440892098500626e-16,no_intrinsic_DATA_compression
S3-e907225868,G-S,G,True,G,True,True,False,6,7,,,,control_groups_gt_5
S3-b4a937492c,G-S,G,True,G,True,True,True,7,8,,,,control_groups_gt_5
S3-104b59620a,G-S,G,True,S,False,False,False,5,6,,,,DATA_and_VINIT_short_in_WRITE
S3-0e69ad09fc,G-S,G,True,S,False,False,True,5,7,,,,DATA_and_VINIT_short_in_WRITE
S3-d9301f95d8,G-S,G,True,S,False,True,False,6,7,,,,control_groups_gt_5
S3-d20124e09c,G-S,G,True,S,False,True,True,7,8,,,,control_groups_gt_5
S3-4156c4bccb,G-S,G,True,S,True,False,False,5,6,,,,DATA_and_VINIT_short_in_WRITE
S3-c0bc067df3,G-S,G,True,S,True,False,True,5,7,,,,DATA_and_VINIT_short_in_WRITE
S3-473aec5ff4,G-S,G,True,S,True,True,False,6,7,,,,control_groups_gt_5
S3-2627834384,G-S,G,True,S,True,True,True,7,8,,,,control_groups_gt_5
S3-560f8fab07,G-S,G,True,X,False,False,False,5,6,-1.4895204919483636e-16,4.440892098500626e-16,0.0,no_intrinsic_DATA_compression
S3-d47c31f604,G-S,G,True,X,False,False,True,5,7,-1.4895204919483636e-16,4.440892098500626e-16,0.0,no_intrinsic_DATA_compression
S3-23dbf976b9,G-S,G,True,X,False,True,False,6,7,,,,control_groups_gt_5
S3-5844fdd326,G-S,G,True,X,False,True,True,7,8,,,,control_groups_gt_5
S3-6694688160,G-S,G,True,X,True,False,False,5,6,5.2830988233413334e-17,2.220446049250313e-16,1.1102230246251565e-15,no_intrinsic_DATA_compression
S3-519ff655d2,G-S,G,True,X,True,False,True,5,7,5.2830988233413334e-17,2.220446049250313e-16,1.1102230246251565e-15,no_intrinsic_DATA_compression
S3-fa43e06a72,G-S,G,True,X,True,True,False,6,7,,,,control_groups_gt_5
S3-97362e4431,G-S,G,True,X,True,True,True,7,8,,,,control_groups_gt_5
S3-6cdb6f09b8,G-X,R,False,G,False,False,False,4,6,1.0,-1.0,-1.0,no_intrinsic_DATA_compression
S3-fe545c51a6,G-X,R,False,G,False,False,True,4,7,1.0,-1.0,-1.0,no_intrinsic_DATA_compression
S3-e0043967e6,G-X,R,False,G,False,True,False,5,7,1.0,-1.0,-1.0,no_intrinsic_DATA_compression
S3-f52dd55afc,G-X,R,False,G,False,True,True,6,8,,,,control_groups_gt_5
S3-dc67ffe011,G-X,R,False,G,True,False,False,5,6,-3.3306690738754696e-16,-1.0000000000000018,-0.9999999999999996,no_intrinsic_DATA_compression
S3-3ffbd60bb8,G-X,R,False,G,True,False,True,5,7,-3.3306690738754696e-16,-1.0000000000000018,-0.9999999999999996,no_intrinsic_DATA_compression
S3-40f11873ed,G-X,R,False,G,True,True,False,6,7,,,,control_groups_gt_5
S3-78b5d56c63,G-X,R,False,G,True,True,True,7,8,,,,control_groups_gt_5
S3-17d63c9a83,G-X,R,False,S,False,False,False,4,6,,,,DATA_and_VINIT_short_in_WRITE
S3-69283e4872,G-X,R,False,S,False,False,True,4,7,,,,DATA_and_VINIT_short_in_WRITE
S3-4a3666362b,G-X,R,False,S,False,True,False,5,7,,,,DATA_and_VINIT_short_in_WRITE
S3-d915e5f470,G-X,R,False,S,False,True,True,6,8,,,,control_groups_gt_5
S3-731cd98def,G-X,R,False,S,True,False,False,5,6,,,,DATA_and_VINIT_short_in_WRITE
S3-0def276016,G-X,R,False,S,True,False,True,5,7,,,,DATA_and_VINIT_short_in_WRITE
