candidate_id,c_st_ff,c_data_ff,gref_tech,xref_tech,sclamp_tech,data_tech,em_tech,address_us,reset_us,comp_us,source_prep_us,write_us,dead_we_us,functional,score,compression_ratio,source_tracking_gain,vgs_source_sensitivity_pct,hold_droop_60hz_pct,comp_settling_pct,source_prep_settling_pct,write_settling_pct,em_drop_at_300na_mv,total_cap_ff,pareto
V2-517FC9AC70,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,33.55,0.5,32.0,0.5,0.5,0.05,False,-52.97751243805586,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,99.98930187682248,100.0,100.0,45.0,50,False
V2-9E6B546E9F,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,33.6,0.5,32.0,0.5,0.5,0.1,False,-52.98367417733457,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,99.98930187682248,100.0,100.0,45.0,50,False
V2-6D91B3EC37,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,34.05,0.5,32.0,0.5,1.0,0.05,False,-53.038956874406104,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,99.98930187682248,100.0,100.0,45.0,50,False
V2-45004EDF4A,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,34.1,0.5,32.0,0.5,1.0,0.1,False,-53.04508022291047,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,99.98930187682248,100.0,100.0,45.0,50,False
V2-598DAE10EC,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,33.8,0.5,32.0,1.0,0.25,0.05,False,-53.008282659657816,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,99.98930187682248,100.0,100.0,45.0,50,False
V2-98B69C6CFD,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,33.85,0.5,32.0,1.0,0.25,0.1,False,-53.01442517355659,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,99.98930187682248,100.0,100.0,45.0,50,False
V2-AA5016478A,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,34.05,0.5,32.0,1.0,0.5,0.05,False,-53.038956874406104,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,99.98930187682248,100.0,100.0,45.0,50,False
V2-F0322090CC,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,34.1,0.5,32.0,1.0,0.5,0.1,False,-53.04508022291047,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,99.98930187682248,100.0,100.0,45.0,50,False
V2-32C12E583D,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,34.55,0.5,32.0,1.0,1.0,0.05,False,-53.10001848061954,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,99.98930187682248,100.0,100.0,45.0,50,False
V2-41DD894E38,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,34.6,0.5,32.0,1.0,1.0,0.1,False,-53.10610367754363,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,99.98930187682248,100.0,100.0,45.0,50,False
V2-97C6D4EAB0,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,65.05,0.5,64.0,0.25,0.25,0.05,False,-56.18732565460609,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,99.9999988555016,100.0,100.0,45.0,50,False
V2-10DA407DC6,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,65.1,0.5,64.0,0.25,0.25,0.1,False,-56.19148188741051,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,99.9999988555016,100.0,100.0,45.0,50,False
V2-BD6EE6587E,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,65.3,0.5,64.0,0.25,0.5,0.05,False,-56.20808086650921,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,99.9999988555016,100.0,100.0,45.0,50,False
V2-DC2DC2AD01,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,65.35,0.5,64.0,0.25,0.5,0.1,False,-56.212224131359115,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,99.9999988555016,100.0,100.0,45.0,50,False
V2-0806165B08,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,65.8,0.5,64.0,0.25,1.0,0.05,False,-56.24939721597422,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,99.9999988555016,100.0,100.0,45.0,50,False
V2-AC1F9C9B61,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,65.85,0.5,64.0,0.25,1.0,0.1,False,-56.25351466617362,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,99.9999988555016,100.0,100.0,45.0,50,False
V2-0E8E3F07F5,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,65.3,0.5,64.0,0.5,0.25,0.05,False,-56.20808086650921,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,99.9999988555016,100.0,100.0,45.0,50,False
V2-6AA1FF969B,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,65.35,0.5,64.0,0.5,0.25,0.1,False,-56.212224131359115,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,99.9999988555016,100.0,100.0,45.0,50,False
V2-5E637EAE0E,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,65.55,0.5,64.0,0.5,0.5,0.05,False,-56.22877131961347,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,99.9999988555016,100.0,100.0,45.0,50,False
V2-F6E3D50E58,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,65.6,0.5,64.0,0.5,0.5,0.1,False,-56.232901656970434,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,99.9999988555016,100.0,100.0,45.0,50,False
V2-58941FC817,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,66.05,0.5,64.0,0.5,1.0,0.05,False,-56.269958757016404,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,99.9999988555016,100.0,100.0,45.0,50,False
V2-2ABB79C7A5,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,66.1,0.5,64.0,0.5,1.0,0.1,False,-56.27406336026773,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,99.9999988555016,100.0,100.0,45.0,50,False
V2-7FBEF59492,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,65.8,0.5,64.0,1.0,0.25,0.05,False,-56.24939721597422,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,99.9999988555016,100.0,100.0,45.0,50,False
V2-22B8838349,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,65.85,0.5,64.0,1.0,0.25,0.1,False,-56.25351466617362,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,99.9999988555016,100.0,100.0,45.0,50,False
V2-B104B369EA,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,66.05,0.5,64.0,1.0,0.5,0.05,False,-56.269958757016404,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,99.9999988555016,100.0,100.0,45.0,50,False
V2-DB088A3284,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,66.1,0.5,64.0,1.0,0.5,0.1,False,-56.27406336026773,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,99.9999988555016,100.0,100.0,45.0,50,False
V2-F4BA4F4815,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,66.55,0.5,64.0,1.0,1.0,0.05,False,-56.310889575704394,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,99.9999988555016,100.0,100.0,45.0,50,False
V2-ADC217A0A4,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,66.6,0.5,64.0,1.0,1.0,0.1,False,-56.314968605186685,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,99.9999988555016,100.0,100.0,45.0,50,False
