time_s,vg,vs,vx,vgs,gc,xc,sc,dc,ec
5.442876820000000209e-07,3.295891999999999822e+00,7.878167259999999672e-01,7.781420100000000506e-01,2.508075269999999968e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.549360040000000280e-07,3.286690049999999808e+00,8.099007929999999522e-01,8.005230239999999720e-01,2.476789259999999882e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.722970520000000093e-07,3.272581409999999913e+00,8.447743490000000355e-01,8.358532119999999566e-01,2.427807060000000128e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.947461139999999874e-07,3.255825250000000004e+00,8.878931660000000115e-01,8.795153510000000008e-01,2.367932090000000045e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.177731609999999842e-07,3.240192899999999820e+00,9.299394490000000291e-01,9.220690820000000398e-01,2.310253460000000203e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.429871999999999702e-07,3.224665059999999972e+00,9.736155880000000318e-01,9.662497300000000289e-01,2.251049479999999825e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.676586820000000209e-07,3.210888150000000163e+00,1.014123759999999930e+00,1.007205930000000027e+00,2.196764379999999850e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.943314969999999752e-07,3.197374570000000027e+00,1.055625030000000075e+00,1.049147009999999991e+00,2.141749540000000174e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.208104889999999810e-07,3.185207800000000145e+00,1.094640870000000099e+00,1.088559150000000031e+00,2.090566920000000106e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.491497280000000273e-07,3.173394009999999987e+00,1.134174009999999955e+00,1.128477390000000025e+00,2.039219999999999811e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.776679910000000194e-07,3.162613749999999779e+00,1.171811900000000017e+00,1.166466940000000063e+00,1.990801849999999984e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.079267710000000484e-07,3.152240809999999893e+00,1.209580029999999917e+00,1.204573679999999980e+00,1.942660779999999976e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.386584090000000192e-07,3.142691709999999805e+00,1.245832929999999950e+00,1.241138520000000023e+00,1.896858780000000078e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.710466889999999615e-07,3.133570100000000025e+00,1.281928519999999905e+00,1.277532289999999904e+00,1.851641569999999959e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.041475579999999889e-07,3.125124379999999924e+00,1.316758340000000027e+00,1.312638369999999943e+00,1.808366039999999897e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.388677629999999741e-07,3.117099479999999811e+00,1.351237830000000084e+00,1.347380519999999970e+00,1.765861649999999949e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.745112630000000378e-07,3.109639769999999803e+00,1.384625250000000030e+00,1.381012249999999941e+00,1.725014519999999996e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.011779130000000098e-06,3.102578519999999784e+00,1.417539150000000081e+00,1.414157550000000096e+00,1.685039369999999925e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.050163479999999999e-06,3.095996790000000054e+00,1.449484970000000095e+00,1.446319169999999987e+00,1.646511829999999899e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.090212290000000068e-06,3.089783610000000014e+00,1.480881440000000104e+00,1.477919479999999952e+00,1.608902180000000071e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.131560839999999926e-06,3.083981849999999802e+00,1.511400190000000032e+00,1.508628670000000005e+00,1.572581659999999992e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.174643750000000039e-06,3.078515949999999890e+00,1.541325730000000060e+00,1.538733719999999972e+00,1.537190220000000052e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.219206129999999908e-06,3.073405960000000103e+00,1.570441460000000067e+00,1.568017350000000087e+00,1.502964500000000037e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.265599389999999909e-06,3.068599030000000116e+00,1.598941839999999948e+00,1.596675749999999949e+00,1.469657200000000108e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.313653790000000104e-06,3.064101850000000127e+00,1.626685420000000049e+00,1.624567249999999907e+00,1.437416430000000078e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
