candidate_id,topology_id,timing_id,transistor_count,c1_other,comp_node,data_node,anchor_node,bridge_node,anchor_mask,em_mask,address_us,t_reset_us,t_comp_us,t_write_us,t_dead_cw_us,t_dead_we_us,t_emit_us,functional,score,max_rcer_pct,max_prior_error_pct,off_current_nA,low_current_nA,mid_current_nA,high_current_nA,s_th,g_data,monotonic_margin_nA,pareto
PX-6248167C+TM-3AADCFB9,PX-6248167C,TM-3AADCFB9,7,A,A,A,B,B,1100,1001,19.200000000000003,1.0,16.0,2.0,0.1,0.1,6.0,False,-39.11297112677492,44.499382269506164,0.0,3.939356144907124e-05,37.14394392674349,51.322025507597196,65.88166217641123,0.9794619297459688,0.11586506375457806,14.178081580853709,False
PX-E06AE415+TM-03DCFE76,PX-E06AE415,TM-03DCFE76,7,A,A,A,B,B,1100,0001,2.0999999999999996,0.5,1.0,0.5,0.05,0.05,6.0,False,-57.81179574447709,61.44847706995732,25.551717705211335,3.7379069572908946e-05,39.00889155091751,53.2563788871726,68.772083307022,0.2188622169170651,0.1176999098337298,14.247487336255087,False
PX-E06AE415+TM-EE5F79B6,PX-E06AE415,TM-EE5F79B6,7,A,A,A,B,B,1100,0001,2.15,0.5,1.0,0.5,0.05,0.1,6.0,False,-57.82357895122592,61.44825721592551,25.551423245937656,3.7379069572908946e-05,39.009100662651406,53.256358532578595,68.77177502365268,0.2188622169170651,0.11769787427005068,14.24725786992719,False
PX-E06AE415+TM-C987E146,PX-E06AE415,TM-C987E146,7,A,A,A,B,B,1100,0001,2.15,0.5,1.0,0.5,0.1,0.05,6.0,False,-57.738474419135855,61.269097036104405,25.230913839200408,3.7380024617310785e-05,38.9349415097398,53.230818293043995,68.75920705288912,0.2188622169170651,0.11797722559777268,14.295876783304191,False
PX-E06AE415+TM-BA2906EC,PX-E06AE415,TM-BA2906EC,7,A,A,A,B,B,1100,0001,2.2,0.5,1.0,0.5,0.1,0.1,6.0,False,-57.75024396749532,61.26888083539309,25.230627502985577,3.7380024617310785e-05,38.9351522015817,53.23079860736704,68.75889910161321,0.2188622169170651,0.11797518353685152,14.295646405785345,False
PX-E06AE415+TM-B1B82082,PX-E06AE415,TM-B1B82082,7,A,A,A,B,B,1100,0001,2.5999999999999996,0.5,1.0,1.0,0.05,0.05,6.0,False,-57.87848395664084,61.40867215788278,25.263871403360543,3.74028863090109e-05,38.94373544142562,52.97889865433118,68.1265997724508,0.2188622169170651,0.11576675234767342,14.035163212905559,False
PX-E06AE415+TM-3ADEC45D,PX-E06AE415,TM-3ADEC45D,7,A,A,A,B,B,1100,0001,2.65,0.5,1.0,1.0,0.05,0.1,6.0,False,-57.8901204880861,61.40845312700497,25.26358425637326,3.74028863090109e-05,38.94394594305351,52.97888536263963,68.12630769030545,0.2188622169170651,0.11576476086805598,14.034939419586118,False
PX-E06AE415+TM-BC2BA4B2,PX-E06AE415,TM-BC2BA4B2,7,A,A,A,B,B,1100,0001,2.65,0.5,1.0,1.0,0.1,0.05,6.0,False,-57.824175901211646,61.23291968489815,25.036271252586488,3.740384998161867e-05,38.89073845342431,52.96830976210885,68.12253025680039,0.2188622169170651,0.11598308038987058,14.077571308684542,False
PX-E06AE415+TM-8103AB33,PX-E06AE415,TM-8103AB33,7,A,A,A,B,B,1100,0001,2.7,0.5,1.0,1.0,0.1,0.1,6.0,False,-57.83579863053312,61.232704232857294,25.035989522053377,3.740384998161867e-05,38.89095000175957,52.968296718855484,68.12223827236177,0.2188622169170651,0.11598108418286521,14.077346717095915,False
PX-E06AE415+TM-514F25E6,PX-E06AE415,TM-514F25E6,7,A,A,A,B,B,1100,0001,3.5999999999999996,0.5,1.0,2.0,0.05,0.05,6.0,False,-58.041351004091545,61.32928870666417,24.9351648472729,3.7462348242618154e-05,38.868825590930356,52.768157709045944,67.67776106450191,0.2188622169170651,0.11453883037723064,13.899332118115591,False
PX-E06AE415+TM-37A2F2BC,PX-E06AE415,TM-37A2F2BC,7,A,A,A,B,B,1100,0001,3.65,0.5,1.0,2.0,0.05,0.1,6.0,False,-58.05269926257265,61.329071317095675,24.93488541502688,3.7462348242618154e-05,38.86903752279459,52.76814918973528,67.67747937273904,0.2188622169170651,0.11453686466982428,13.899111666940696,False
PX-E06AE415+TM-8041B5D5,PX-E06AE415,TM-8041B5D5,7,A,A,A,B,B,1100,0001,3.65,0.5,1.0,2.0,0.1,0.05,6.0,False,-58.00283417247325,61.16074779676705,24.782713347420092,3.7463265948033666e-05,38.832684703183915,52.764127817003676,67.67672830430935,0.2188622169170651,0.11469260848421206,13.93144311381976,False
PX-E06AE415+TM-AC550B76,PX-E06AE415,TM-AC550B76,7,A,A,A,B,B,1100,0001,3.7,0.5,1.0,2.0,0.1,0.1,6.0,False,-58.01416872673595,61.16053383800981,24.782437219553966,3.7463265948033666e-05,38.8328972700266,52.764119378979444,67.67644663511811,0.2188622169170651,0.11469063974515015,13.931222108952847,False
PX-E06AE415+TM-C84B98D5,PX-E06AE415,TM-C84B98D5,7,A,A,A,B,B,1100,0001,3.0999999999999996,0.5,2.0,0.5,0.05,0.05,6.0,False,-56.63381544959491,60.42297102074535,22.707076993655704,3.7396938046641156e-05,38.370790636409126,52.62135304497765,68.08223392602974,0.3063103384868486,0.11816869598429419,14.250562408568525,False
PX-E06AE415+TM-A9341DA7,PX-E06AE415,TM-A9341DA7,7,A,A,A,B,B,1100,0001,3.15,0.5,2.0,0.5,0.05,0.1,6.0,False,-56.64530639400762,60.42276444373257,22.706813540631014,3.7396938046641156e-05,38.371004229751144,52.62133749457066,68.08193161664089,0.3063103384868486,0.11816664951689582,14.250333264819519,False
PX-E06AE415+TM-38DE3A46,PX-E06AE415,TM-38DE3A46,7,A,A,A,B,B,1100,0001,3.15,0.5,2.0,0.5,0.1,0.05,6.0,False,-56.549604902800866,60.264807043579815,22.36804819259836,3.739789782011695e-05,38.29528130858598,52.59802696487189,68.07098482378014,0.3063103384868486,0.11846258285476005,14.30274565628592,False
PX-E06AE415+TM-4F91BE19,PX-E06AE415,TM-4F91BE19,7,A,A,A,B,B,1100,0001,3.2,0.5,2.0,0.5,0.1,0.1,6.0,False,-56.56108251786017,60.26460368155694,22.367792086268306,3.739789782011695e-05,38.29549621891286,52.598012021131694,68.07068280524314,0.3063103384868486,0.11846053075279028,14.302515802218837,False
PX-E06AE415+TM-D35760D5,PX-E06AE415,TM-D35760D5,7,A,A,A,B,B,1100,0001,3.5999999999999996,0.5,2.0,1.0,0.05,0.05,6.0,False,-56.722201811432384,60.38809782753035,22.55433977592608,3.742057251824225e-05,38.33688756870321,52.37073727441009,67.4546830790042,0.3063103384868486,0.11614998555532782,14.033849705706883,False
PX-E06AE415+TM-A41837FA,PX-E06AE415,TM-A41837FA,7,A,A,A,B,B,1100,0001,3.65,0.5,2.0,1.0,0.05,0.1,6.0,False,-56.73354930891522,60.38789197105755,22.554079757047223,3.742057251824225e-05,38.337101765317904,52.3707280661028,67.45439654169692,0.3063103384868486,0.1161479858225421,14.0336263007849,False
PX-E06AE415+TM-8B1FD324,PX-E06AE415,TM-8B1FD324,7,A,A,A,B,B,1100,0001,3.65,0.5,2.0,1.0,0.1,0.05,6.0,False,-56.64734986593104,60.23293918307796,22.2569779178664,3.7421540388663884e-05,38.27048271307386,52.360599604069954,67.45103792732932,0.3063103384868486,0.11642967703134982,14.090116890996095,False
PX-E06AE415+TM-6B36D4D2,PX-E06AE415,TM-6B36D4D2,7,A,A,A,B,B,1100,0001,3.7,0.5,2.0,1.0,0.1,0.1,6.0,False,-56.65868403880616,60.2327364800294,22.256724022733053,3.7421540388663884e-05,38.27069799572015,52.36059063246547,67.45075147771291,0.3063103384868486,0.11642767213640903,14.08989263674532,False
PX-E06AE415+TM-93471C56,PX-E06AE415,TM-93471C56,7,A,A,A,B,B,1100,0001,4.6,0.5,2.0,2.0,0.05,0.05,6.0,False,-56.896614105074065,60.31851559351442,22.329055929697823,3.746986604661057e-05,38.2865293650343,52.172694539479465,67.01313503615006,0.3063103384868486,0.11483513511779787,13.886165174445171,False
PX-E06AE415+TM-DC79C298,PX-E06AE415,TM-DC79C298,7,A,A,A,B,B,1100,0001,4.6499999999999995,0.5,2.0,2.0,0.05,0.1,6.0,False,-56.90768017718086,60.31831117447194,22.3288006475483,3.746986604661057e-05,38.286744374172706,52.17268979640589,67.01285872993456,0.3063103384868486,0.114833163687892,13.885945422233187,False
PX-E06AE415+TM-5E21F537,PX-E06AE415,TM-5E21F537,7,A,A,A,B,B,1100,0001,4.6499999999999995,0.5,2.0,2.0,0.1,0.05,6.0,False,-56.82482710960811,60.1693392291892,22.046054925717215,3.747078883546511e-05,38.22338825107046,52.168688068650724,67.01218340216175,0.3063103384868486,0.1151099231196846,13.945299817580265,False
PX-E06AE415+TM-C537F674,PX-E06AE415,TM-C537F674,7,A,A,A,B,B,1100,0001,4.699999999999999,0.5,2.0,2.0,0.1,0.1,6.0,False,-56.835880084077075,60.16913784107471,22.045805041510786,3.747078883546511e-05,38.22360419683509,52.16868340627513,67.01190711676918,0.3063103384868486,0.11510794699829306,13.945079209440038,False
PX-E06AE415+TM-AFD91B7E,PX-E06AE415,TM-AFD91B7E,7,A,A,A,B,B,1100,0001,5.1,0.5,4.0,0.5,0.05,0.05,6.0,False,-54.771564720445,58.71791221054856,18.298342421197894,3.743333459116355e-05,37.416470970593075,51.72019987494673,67.11228538905058,0.4179621118217842,0.11911765462241261,14.303728904353651,False
PX-E06AE415+TM-43AF6F18,PX-E06AE415,TM-43AF6F18,7,A,A,A,B,B,1100,0001,5.1499999999999995,0.5,4.0,0.5,0.05,0.1,6.0,False,-54.78249445885395,58.71772765009153,18.29812727057842,3.743333459116355e-05,37.41669083837673,51.72019132032305,67.11199151508872,0.4179621118217842,0.11911559134657276,14.30350048194632,False
PX-E06AE415+TM-955A259B,PX-E06AE415,TM-955A259B,7,A,A,A,B,B,1100,0001,5.1499999999999995,0.5,4.0,0.5,0.1,0.05,6.0,False,-54.69214291019229,58.592614394056994,18.022691936182966,3.743430305560617e-05,37.35763560877261,51.70052635737688,67.10347790049198,0.4179621118217842,0.1193519730293196,14.342890748604267,False
PX-E06AE415+TM-8C7BDD47,PX-E06AE415,TM-8C7BDD47,7,A,A,A,B,B,1100,0001,5.199999999999999,0.5,4.0,0.5,0.1,0.1,6.0,False,-54.70305989854795,58.59243237232613,18.022481995330754,3.743430305560617e-05,37.357856309893386,51.700518307042366,67.103184255136,0.4179621118217842,0.11934990606456009,14.342661997148983,False
PX-E06AE415+TM-1BB52401,PX-E06AE415,TM-1BB52401,7,A,A,A,B,B,1100,0001,5.6,0.5,4.0,1.0,0.05,0.05,6.0,False,-54.86844003077565,58.69056487447053,18.22019953991694,3.745666805574464e-05,37.399545280691044,51.513250875576226,66.51287509684825,0.4179621118217842,0.11710425272292416,14.11370559488518,False
PX-E06AE415+TM-411F8E1A,PX-E06AE415,TM-411F8E1A,7,A,A,A,B,B,1100,0001,5.6499999999999995,0.5,4.0,1.0,0.05,0.1,6.0,False,-54.879233126162305,58.690380878477555,18.219985881817774,3.745666805574464e-05,37.39976537585318,51.51324748961158,66.51259631777667,0.4179621118217842,0.11710223633490986,14.113482113758401,False
PX-E06AE415+TM-6A2FA74D,PX-E06AE415,TM-6A2FA74D,7,A,A,A,B,B,1100,0001,5.6499999999999995,0.5,4.0,1.0,0.1,0.05,6.0,False,-54.79210501006932,58.56739858856924,17.956537859802367,3.7457643688973214e-05,37.343225067143884,51.50394389618663,66.50990292016293,0.4179621118217842,0.11734725159120513,14.160718829042741,False
PX-E06AE415+TM-FE4738D0,PX-E06AE415,TM-FE4738D0,7,A,A,A,B,B,1100,0001,5.699999999999999,0.5,4.0,1.0,0.1,0.1,6.0,False,-54.80288549509058,58.56721708781104,17.956329176550813,3.7457643688973214e-05,37.34344595738803,51.50394072522587,66.50962421281689,0.4179621118217842,0.1173452312227492,14.160494767837843,False
PX-E06AE415+TM-79BBB106,PX-E06AE415,TM-79BBB106,7,A,A,A,B,B,1100,0001,6.6,0.5,4.0,2.0,0.05,0.05,6.0,False,-55.04443204935972,58.63596598776053,18.071433001032936,3.750461418844239e-05,37.36728240104372,51.33726153167744,66.08290433853155,0.4179621118217842,0.11574114267995199,13.969979130633725,False
PX-E06AE415+TM-D4148342,PX-E06AE415,TM-D4148342,7,A,A,A,B,B,1100,0001,6.6499999999999995,0.5,4.0,2.0,0.05,0.1,6.0,False,-55.054957323833825,58.6357831185592,18.071222177446955,3.750461418844239e-05,37.367502925897405,51.33726207676246,66.08263553718021,0.4179621118217842,0.11573915587344581,13.96975915086505,False
PX-E06AE415+TM-7EA05171,PX-E06AE415,TM-7EA05171,7,A,A,A,B,B,1100,0001,6.6499999999999995,0.5,4.0,2.0,0.1,0.05,6.0,False,-54.97376346513779,58.51704917598723,17.82899606585568,3.750559427076581e-05,37.31541220751276,51.33332470479611,66.08209384085629,0.4179621118217842,0.11597174482899904,14.01791249728336,False
PX-E06AE415+TM-451EE8EE,PX-E06AE415,TM-451EE8EE,7,A,A,A,B,B,1100,0001,6.699999999999999,0.5,4.0,2.0,0.1,0.1,6.0,False,-54.98427640475491,58.516868715333295,17.828789804132654,3.750559427076581e-05,37.31563346045191,51.333325328892926,66.08182505727471,0.4179621118217842,0.11596975421766006,14.017691868441014,False
PX-E06AE415+TM-196A39BD,PX-E06AE415,TM-196A39BD,7,A,A,A,B,B,1100,0001,9.100000000000001,0.5,8.0,0.5,0.05,0.05,6.0,False,-52.452380802712504,56.258668213567006,12.95917075607912,3.750819170979352e-05,36.304980024843076,50.660767683342876,65.99327558034848,0.5323161703930998,0.12032919508328865,14.3557876584998,False
